"\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.","\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.",\n 并 认 为 你 的 位 置 \n 应 由 另 一 位 统 治 者 接 管 。 \n   他 们 正 在 一 起 准 备 \n 针 对 你 的 政 变 和 审 判 。
英文键值,原文
"Here you can play in scenarios for the game Crisis in the Kremlin. All scenarios\nmust be purchased separately in the Steam store. If you bought a scenario, but it did not start,\ntry running Steam on behalf of the administrator.","Here you can play in scenarios for the game Crisis in the Kremlin. All scenarios\nmust be purchased separately in the Steam store. If you bought a scenario, but it did not start,\ntry running Steam on behalf of the administrator.",你 可 以 在 此 开 始 克 里 姆 林 宫 危 机 剧 本 模 式 ， 所 有 剧 本 \n 需 在 S t e a m 商 店 购 买 。 如 果 购 买 后 不 可 用 ， \n 尝 试 联 系 S t e a m 管 理 员 。
"Seeing that the party vertical of power is undergoing multiple changes and the head of state is Mikhail Gorbachev, you decided to retire to an honorable retirement. Everyone expects change from him, but we don't.","Seeing that the party vertical of power is undergoing multiple changes and the head of state is Mikhail Gorbachev, you decided to retire to an honorable retirement. Everyone expects change from him, but we don't.",看 到 党 的 直 接 领 导 正 在 经 历 多 元 化 改 革 ， 国 家 领 导 人 成 了 米 哈 伊 尔 · 戈 尔 巴 乔 夫 ， 你 决 定 体 面 地 退 休 了 。 每 个 人 都 期 望 他 能 带 来 改 变 ， 但 我 们 不 这 样 认 为 。
"On our letter with condolences, we, after a nine-day mourning, received a dry reply from Albania, where we were modestly thanked for sympathy. However, there was not a single mention in the official Albanian press about this.","On our letter with condolences, we, after a nine-day mourning, received a dry reply from Albania, where we were modestly thanked for sympathy. However, there was not a single mention in the official Albanian press about this.",在 九 天 的 哀 悼 之 后 ， 我 们 收 到 了 来 自 阿 尔 巴 尼 亚 对 我 们 的 吊 唁 信 干 巴 巴 的 回 复 。 信 中 适 度 地 表 达 了 对 我 们 的 同 情 的 感 谢 。 然 而 阿 尔 巴 尼 亚 的 官 方 通 讯 社 一 点 也 没 有 提 到 此 事 。
"The performance was unprecedented in scale. The state for the first time went on reducing the income from alcohol, which was a significant item of the state budget (more than 15%), and began to drastically reduce its production. After the beginning of the","The performance was unprecedented in scale. The state for the first time went on reducing the income from alcohol, which was a significant item of the state budget (more than 15%), and began to drastically reduce its production. After the beginning of the fight against drunkenness, a large number of stores selling vodka and alcohol products were closed in the country. Several times the prices for vodka rose: popular vodka, which received the nickname \""Andropovka\"", which costed 4 r. 70 k., Disappeared from counters, and since August 1986 the cheapest vodka cost 9 rubles. 10 k ..",行 动 力 度 是 空 前 的 ， 国 家 首 先 开 始 猛 烈 削 减 酒 类 产 品 的 产 量 ， 从 中 \n 得 到 的 收 入 因 此 锐 减 ， 此 项 收 入 一 度 占 国 家 整 体 预 算 的 1 5 % 以 上 。 开 始 \n 反 酗 酒 活 动 后 ， 国 内 大 量 销 售 伏 特 加 和 其 他 酒 的 商 店 被 关 闭 。 \n 伏 特 加 的 价 格 上 涨 了 几 倍 ： 售 价 4 卢 布 7 0 戈 比 的 广 受 欢 迎 的 \n 昵 称 为 “ 安 德 罗 波 夫 卡 ” 的 伏 特 加 从 柜 台 消 失 ， 从 1 9 8 6 年 8 月 开 始 最 便 宜 的 伏 特 加 也 要 9 卢 布 1 0 戈 比
"The implementation in fact took only the form of successful reports about working with the population, strengthening patrols, in order to avoid drinking alcohol in public places, renaming stores and moving them from the central streets to side. And althou","The implementation in fact took only the form of successful reports about working with the population, strengthening patrols, in order to avoid drinking alcohol in public places, renaming stores and moving them from the central streets to side. And although \""Andropovka \"", the cheapest vodka for 4p. 70 kopecks, disappeared from the shelves, the rest remained on sale, unlike Moscow, where the cheapest vodka was selling for 9p. 10 kopecks.",在 实 际 执 行 中 只 采 取 了 在 对 群 众 工 作 中 被 证 明 是 成 功 的 ， 增 强 了 巡 逻 以 避 免 在 公 共 场 合 饮 酒 ， 保 留 了 （ 卖 酒 的 ） 商 店 并 将 它 们 从 中 心 街 道 挪 到 背 街 小 巷 之 中 。 而 且 ， 尽 管 最 便 宜 的 ， 4 卢 布 7 0 戈 比 一 瓶 的 “ 安 德 罗 波 夫 卡 ” 伏 特 加 从 货 架 上 消 失 了 ， 其 他 品 种 仍 旧 在 售 ， 与 最 便 宜 的 伏 特 加 都 要 卖 上 9 卢 布 1 0 戈 比 的 莫 斯 科 有 所 不 同 。
\nThe center reduced subsidies.,\nThe center reduced subsidies.,\n 中 央 减 少 了 补 贴 。
"For a long time, Mengele hid in Brazil under a false name, avoiding trial for his crimes.","For a long time, Mengele hid in Brazil under a false name, avoiding trial for his crimes.",很 久 以 来 ， 门 格 勒 以 假 名 藏 匿 在 巴 西 来 逃 避 对 他 罪 行 的 审 判 。
"A mass antifascist month was held in the country - the film \""Ordinary Fascism\"" was shown again, distributed leaflets, held meetings in the Komsomol and the CPU, an anti-fascist procession, explained the Nazi essence of the OUN-UPA, and the youth solemnl","A mass antifascist month was held in the country - the film \""Ordinary Fascism\"" was shown again, distributed leaflets, held meetings in the Komsomol and the CPU, an anti-fascist procession, explained the Nazi essence of the OUN-UPA, and the youth solemnly visited the veterans.",乌 克 兰 举 行 了 反 法 西 斯 月 系 列 活 动 — — 电 影 《 普 通 的 法 西 斯 （ 英 ： 战 胜 暴 力 ） 》 再 度 放 映 ， 共 青 团 员 和 乌 共 党 员 们 分 发 传 单 、 召 开 会 议 、 举 行 反 法 西 斯 游 行 并 揭 露 了 乌 克 兰 民 族 主 义 组 织 — 乌 克 兰 反 抗 军 （ O U N - U P A ） 的 纳 粹 本 质 。 一 些 青 年 庄 严 的 拜 访 了 退 伍 军 人 。
