MD5,原文,翻译
cf85b2e9cd0b9908eb455ce48f7cec03,"KGB agents did their usual work:ribed someone, killed someone,and blackmailed someoneand made him change his opinion.During the session your opponentsdidn't say a word.",
4a8fc61c57338a6e3b23875a863f54d4,"KGB squads isolated the plot leaders, Spetznaz and snipers destroyedmost of the rebel forces.Another victory.",
8ad6ae207846ddfe3e3b4c2d146fc705,Spetznaz stromed the rebel buildingand snipers made panic mong our enemies.Armed opposition was crushed.,
3c211cc69415049d8d9948899326c98e,"rehabilitation of the anti-party group was begun,Khruschev was accused of the departure from thecollectivist management principlesStalin again appeared in textbooksas a great Soviet ruler, who rebuiltthe country after the fall of theEmpire, Civil war and WW2 by organisinga great industrilisation and raisingquality of life, education and raising the birthrate.Purged Yezhov and Yagoda were called responsible for purgesand Tukhachevsky was found guilty of the first military defeats of 1941.Then Lavrentiy Beria was rehabilitated too.The West has already condemned it.",
b567aa3deaee453c78e659eb6102dedf,"While in 1967 we spent 50,2 tonsof gold to buy grain,we had to spend 458,2 tons in 1972.These weren't reforms, but a road to nowhere",
0706b6c31a743268aa7a5365a62f629d,"Economical experiment was startedon Schyokinskiy chemical factoryin order to test the reform. It gained approval from the government, the this experiment was usedon a large number of companies. However, despite of realization of Liberman's ideas, as it has always been, ministers vetoed additions of expanding responsibility of directors and bureaucrats.",
89c8b70892d58af245f6cf0cbce932f2,"USA presidental elections were won by an old parties candidate - Donald Trump. To save the country he began creating the youth military organisations, militarisation of society, expanding CIA rights, strengthening the power and destruction of an entire opposition. ilitarisaton and centralisation influenced even the economy, while defining the principles of corporacracy. It's all for the good of America!.. But only time will show if it helps United States...",
b47cfb9a7740cf42e9922cca7d906570,"Now all across the USSR cafes 'Five' appear, which can be a strong competitor of McRonalds. Population happily welcome the new cafe network, which has food similar to the famous McRonald's. All income goes to the USSR reserves, despite McRonald's tries to sue us.",
5c4c76e2777993f93cab6eb956a77746,"While ignoring main thesis of the letter, you gave a written answer, in which you discussed problems of our relations and regional cooperation. It was presented personally by the Minister of Foreign Affairs in Khomeini's house, despite the fact that Khomeini didn't meet with anybody, because of his health. Our minister quotes Khomeini: 'I am disappointed. I heard, that he is a thinker. I talked about a place of humanity in this and supernatural world. I don't think about problems of this worldI heard, that new Moscow leade is a thinker. I talked about a place of humanity in this and supernatural world. I don't think about problems of this world. I talked about supernatural world and i didn't receive an answer. But i support the normalisation of our relations'. Soviet and Iranian media used this statement: Imam, after listening to the letter of our Leader, approved it..",
92c5f8ffb6fc2809b61dd9ac878d705c,"After the beginning of the month parents in the USSR will be banned from any attraction or force to take part in religious life of the country. Ban will cover all religious events for children. Also parents are banned from enforcing religious beliefs and making them to wear religious clothes. New document says, that if parents are unable to protect their children from religious influence and if children don't want to visit normal schools, parents must send them to special correctional schools for rehabilitation.",
f70e81f4886198960f01105b6161d8cf,"Acceleration policy predicted a 1.7 times increase in heavy industry development and reaching a world level in the 90s. However financing heavy industry, import purchases for it, didn't give positive effect and didn't affect food market. Moreover, this market became a victim of the acceleration",
b8be01f907b893a5f3beeabd9fdae854,"During the referendum most of the poppulation supported the USSR, but it will follow the new Union treaty. It, in theory, will improve national relationships and give more possibilities to the union republics. Including rights to leave the USSR and use their own resources.",
04f5ae5c128cec6e7e528ffd8312301a,Today first meeting between the Pope and leader of the USSR took place. Diplomatic relations were created. Our Ruler declared constitutional policy of Free onscience.,
