键值,原文,翻译
"Coming to power, Mikhail Gorbachev struck everyone with his activity and unstoppable in the accomplishment of new affairs. Everybody expects change from him. Of course, only for the better!","Coming to power, Mikhail Gorbachev struck everyone with his activity and unstoppable in the accomplishment of new affairs. Everybody expects change from him. Of course, only for the better!",
"We warmly welcomed the newly elected Secretary General, Comrade Mikhail Gorbachev, at the plenum of the Central Committee of the CPSU. The audience burst into a storm of standing ovations. Everybody expects change from him. Of course, only for the better!","We warmly welcomed the newly elected Secretary General, Comrade Mikhail Gorbachev, at the plenum of the Central Committee of the CPSU. The audience burst into a storm of standing ovations. Everybody expects change from him. Of course, only for the better!",
"GKCHP\nThanks to your successful conservative rule in Ukraine, given that you did not collude with Ligachev in 88, you were approved into the Security Council of the USSR formed in 1990 and appointed in December 1990 as the Minister of Internal Affairs to stabilize the situation in the country. You quickly dragged your people there and, in August 1991, when the socialist camp collapsed and the same thing threatened the Soviet Union, you became the informal leader of the State Emergency Committee, so Yeltsin was isolated at his cottage, the Supreme Soviet was stormed, and the unrest in the Baltic states suppressed. Gorbachev is gone and now it's your time to rule the country...\nHooray! Hooray! Hooray!\n","GKCHP\nThanks to your successful conservative rule in Ukraine, given that you did not collude with Ligachev in 88, you were approved into the Security Council of the USSR formed in 1990 and appointed in December 1990 as the Minister of Internal Affairs to stabilize the situation in the country. You quickly dragged your people there and, in August 1991, when the socialist camp collapsed and the same thing threatened the Soviet Union, you became the informal leader of the State Emergency Committee, so Yeltsin was isolated at his cottage, the Supreme Soviet was stormed, and the unrest in the Baltic states suppressed. Gorbachev is gone and now it's your time to rule the country...\nHooray! Hooray! Hooray!\n",
"Displacement of the Gorbachev\nGorbachev did not intend to stop there and reported on plans for radical reforms in the country - the introduction of a full-fledged market and the pluralism of political ideologies, and this against the background of the deterioration of the Soviet economy and the growth of nationalism. You opposed this and entered into an alliance with Ligachev and Gromyko, and as a result, at the 1988 plenum, when Gorbachev proposed an early way to implement innovations, you boldly and decisively attacked him, accusing him of voluntarism, the problems of the Soviet economy, and the restoration of capitalism. You were supported by Ligachev and Gromyko. Opponents were not allowed to say a word. Displacement took place.\nHooray! Hooray! Hooray!\n","Displacement of the Gorbachev\nGorbachev did not intend to stop there and reported on plans for radical reforms in the country - the introduction of a full-fledged market and the pluralism of political ideologies, and this against the background of the deterioration of the Soviet economy and the growth of nationalism. You opposed this and entered into an alliance with Ligachev and Gromyko, and as a result, at the 1988 plenum, when Gorbachev proposed an early way to implement innovations, you boldly and decisively attacked him, accusing him of voluntarism, the problems of the Soviet economy, and the restoration of capitalism. You were supported by Ligachev and Gromyko. Opponents were not allowed to say a word. Displacement took place.\nHooray! Hooray! Hooray!\n",
"The First President\nYour flexibility and commitment to the ideas of successive rulers led to the fact that Gorbachev personally praised you for the profound implementation of Perestroika. You were the first after Yeltsin called on the world not to submit to the self-proclaimed State Emergency Committee, and the Ukrainian people elected you the First President of Ukraine in December 1991. And your signature was one of the three, set forth on the documents of the Belovezhsky collusion. Ruling until 1993, you were able to improve your condition to a multitude of billions of dollars, cottages, cars and yachts abroad, negotiate with the Russian Federation on territorial integrity in exchange for the export of nuclear weapons and turn the second industry and economic power into a Soviet republic in one of the most backward countries in Europe.\nJune 9, 1993 in Donbass began an indefinite strike of miners, held against a backdrop of a severe economic crisis. In view of this, the Verkhovna Rada of Ukraine on June 22 went to meet the strikers and fulfilled their demand - they appointed a new presidential election on September 26, 1993. You took second place, receiving 30% of the vote.\nYou have a lot of money. You can live on!\n","The First President\nYour flexibility and commitment to the ideas of successive rulers led to the fact that Gorbachev personally praised you for the profound implementation of Perestroika. You were the first after Yeltsin called on the world not to submit to the self-proclaimed State Emergency Committee, and the Ukrainian people elected you the First President of Ukraine in December 1991. And your signature was one of the three, set forth on the documents of the Belovezhsky collusion. Ruling until 1993, you were able to improve your condition to a multitude of billions of dollars, cottages, cars and yachts abroad, negotiate with the Russian Federation on territorial integrity in exchange for the export of nuclear weapons and turn the second industry and economic power into a Soviet republic in one of the most backward countries in Europe.\nJune 9, 1993 in Donbass began an indefinite strike of miners, held against a backdrop of a severe economic crisis. In view of this, the Verkhovna Rada of Ukraine on June 22 went to meet the strikers and fulfilled their demand - they appointed a new presidential election on September 26, 1993. You took second place, receiving 30% of the vote.\nYou have a lot of money. You can live on!\n",
"Urgent and classified information! At the South-Ukrainian NPP, one of the power units was destroyed, the violation was of the nature of ignition. And if it were at the Chernobyl nuclear power plant, the radius of impact would have been much wider, the inhabitants of neighboring republics would have suffered, and the high level of radiation would have already been quickly detected. However, this is not the Chernobyl nuclear power plant and everything can be fixed. And classified ... About that were last hints from the Center.\n","Urgent and classified information! At the South-Ukrainian NPP, one of the power units was destroyed, the violation was of the nature of ignition. And if it were at the Chernobyl nuclear power plant, the radius of impact would have been much wider, the inhabitants of neighboring republics would have suffered, and the high level of radiation would have already been quickly detected. However, this is not the Chernobyl nuclear power plant and everything can be fixed. And classified ... About that were last hints from the Center.\n",
"Urgent and classified information! At the Chernobyl nuclear power plant, one of the power units was destroyed, the violation was explosive, the reactor was completely destroyed, and a large amount of radioactive substances was emitted into the environment. The catastrophe itself had a negative impact on the inhabitants of the Belarusian SSR. From the Center there are directives not to breed a panic.\n","Urgent and classified information! At the Chernobyl nuclear power plant, one of the power units was destroyed, the violation was explosive, the reactor was completely destroyed, and a large amount of radioactive substances was emitted into the environment. The catastrophe itself had a negative impact on the inhabitants of the Belarusian SSR. From the Center there are directives not to breed a panic.\n",
"Urgent and classified information! At the Chernobyl nuclear power plant three power units were destroyed, the violation was explosive, the reactors were completely destroyed, and a large amount of radioactive substances was emitted into the environment. The catastrophe itself had a negative impact on the inhabitants of the Belarusian SSR. This catastrophic event could threaten your resignation and the death of hundreds of thousands. But from the Center there are directives not to breed a panic ...\n","Urgent and classified information! At the Chernobyl nuclear power plant three power units were destroyed, the violation was explosive, the reactors were completely destroyed, and a large amount of radioactive substances was emitted into the environment. The catastrophe itself had a negative impact on the inhabitants of the Belarusian SSR. This catastrophic event could threaten your resignation and the death of hundreds of thousands. But from the Center there are directives not to breed a panic ...\n",
"Comrade! The May Day demonstration threatens to be thwarted. A crowd of nationalist radicals, together with liberal students, begin to conduct an unauthorized spontaneous rally and are moving toward our May Day demonstration.","Comrade! The May Day demonstration threatens to be thwarted. A crowd of nationalist radicals, together with liberal students, begin to conduct an unauthorized spontaneous rally and are moving toward our May Day demonstration.",
It's just perfect!,It's just perfect!,
