MD5,原文,翻译
5804ad517334ed6ba172b06b132981ec,"Only leaders of true Marxist-Leninist parties and emissaries from the DPRK, Vietnam, Cuba, Romania, Laos, Kampuchea, People's Democratic Republic of Yemen , Nicaragua, Iran and Iraq were allowed to enter Tirana from abroad. Telegrams of condolences sent from foreign countries, including from the USSR, Italy and Yugoslavia, were sent back, except for condolences from F. Castro, N. Ceausescu and Kim Il-Sung. Farewell to Khoja took place in the palace named after Stalin in Tirana.",
638926a73654dd5f612f3ea8243e9b65,"Only leaders of true Marxist-Leninist parties and emissaries from the DPRK, Vietnam, Cuba, Romania, Laos, Kampuchea, People's Democratic Republic of Yemen, Nicaragua, Iran and Iraq were allowed to enter Tirana from abroad. We were sternly denied arriving on the funeral.",
43a697a133f042d4e04a5615c12c5c4a,Withdrawal from the Politburo and Party onservatives and their replacement by supporters of the deepening of reforms led to the beginning of the implementation of the radical reform of all spheres of Soviet society.,
a10887c1e7e067a3bfcf0135b1706244,Decisions of the Council of Ministers of the USSR On the procedure for the establishment of joint ventures in the territory of the USSR with the participation of Soviet organizations and firms of capitalist and developing countries and On the creation of cooperatives for the production of consumer goods were accepted.,
5a5dc8000f67c0f0d8a033e3928f0860,"At the XXVII Congress of the CPSU in early 1986, task  1 was  the accelerated development of machine building, in which the basis for the rapid rearmament of the entire national economy was seen. The acceleration program outlined an advance (1.7 times) the development of engineering in relation to the entire industry and the achievement of a world-class level in the late 1990s.",
af0b6d39db154aceb1ebd046f5b17e3d,"Panel on the right is showing general information about the current situation. It shows:a) Relations with the USA. Try to evade conflicts with them. Every time when relations become less than 0, Defcon (a number which shows how close is the world to a large-scale conflict) becomes lower, and you will get a crisis event. When Defcon is less than 2, your only choice will be to start a detente, which costs some money, or to start cooperating with the USA, which will cost some of leninism's achievements (some doctrines will become more pro-american). Or you can just nuke the imperialists (if you want to). However, depending on some factions' positions majority in the Supreme Council, detente can be your only available option. If relations are more than 100, Defcon will rise, but not higher than 5.b) Income. It shows how much money you gain or spend (if the number is negative) at the end of each turn. Income (or spendings, excluding event and map actions spendings) arrives every 2 turns.) Relations with China. It works similarly to the USA relations, but they don't affect Defcon. If relations are too low, China will make agressive actions. But in that case you can rely on the power of your army. Or financial resources",
b770da8b166d61ce38d9fa4fd890b54c,"Much more advanced than NEP and including self-management policies. We used to accuse Tito of orporatism, but what are we doing now?..",
cc010fbdcda6490b2c9003d3407af868,"We must control prices if current situation changes, if there is excess of meat  it will be cheaper, if there is deficit, it will be more expensive.",
69b0e47360c817cc2c75902fee928eb8,"Nuclear weapons is evil, with which we should fight. We will destroy our nukes for the sake of world peace.",
43e1fc65498b8ac45a7d65279732afab,"Economy isnt more liberal than New Economic Policy and head of state writes laws or Party/SC writes laws and Conservatives, Moderate and Stalinists are the majority or referendums are determining laws, republics loyalty is>70, opposition force is<50  ",
24c633e17b0294df741d2cde05c50f1b,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
2c1556c85f7736992a0d7ebf795debcb,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
621ed2937315e7fb6a4332bb881babda,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
8a36a72f45ddd2f286040e900c08a3d0,"Requires: No diplomatic relations or Khrushchevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
63877f4e4408dca04a294b2e8ccfc07b,"Requires: No diplomatic relations,  Khrushchevs or Brezhnevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
e7bd624d548f1cb87aee0495bb134347,"Requires: Co-existence, Brezhnevs or Khrushchevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
7ff6c054552e5c583b0da1a84946ad36,"Requires: Co-existence, Brezhnevs or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws and Moderate, Reformers are the majority in the SC, Moderate>Reformers or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ",
3bb5d53434ac772f40c1219f451fa66c,"Requires: No diplomatic relations with the capitalists or Khrushchevs policy and Head of state writes laws or Party writes laws and Conservatives and Trotskists are the majority or the SC writes laws and Conservatives and Trotskists are the majority, DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<3  ",
051a35d68cd2d4b4500fa742edc2ac1b,"Requires: Brezhnevs, Khrushchevs or co-existence policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
960f2fb612f0fefe6e7d368553b37eea,"Requires: Brezhnevs, co-existence or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
5beb0e7199728b8c37979a563c8d1b50,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC and Conservatives<Trotskists or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<3  ",
0622b9097b4a59b6186aad84c8206fdc,"Requires: Republics loyalty>90, opposition power<25 and Stalinists and Trotskists are the majority in the SC  ",
05bcb618f71b6a48099dc249b2b581f5,"Requires: Head of state writes laws or Party writes laws and Reformers and Liberals are banned and Reformers loyalty >5 and Conservatives loyalty > 50, or Party writes laws and Trotskists, Stalinists and Conservatives are the majority and opposition force < 30 or referendums are determining laws, republics loyalty > 70, opposition force < 30  ",
16488cc39610e892b352c8ac88dbddb8,"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Conservatives, Stalinists, Moderates are the majority or referendums are determining laws and republics loyalty >70, opposition power <30  ",
f7ae21921f88a3e797529ebc5f4ba8ea,"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority and Moderate<Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
099a650150aceff663112d35d420302f,"Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
5fc37a4288fd8b40c97b7bc9d60ff410,"Requires: Peoples or Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
e6b5000ea3139dbf53f06ff42894895b,"(Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
559ba5a58cbea3c97ae3a52bf1578b1c,"Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
bd58d2a48f468d4335a95ff0dc35e901,"Requires: Peoples, Fractional, Direct or Consensus or Representative Democracy  ",
860a20a4dd2dc97ddbdf8fa71d719f33,"Requires:  Party elitarization, Soviet Republic, Peoples or Chinese Democracy and head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
9da0b18a8814b8086450089725a98f9c,"Requires: Sovet Repblic or Peoples, Chinese or Representative Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
d5d3c72398a4b7b3901022143144b48f,"Requires: Republics loyalty is >95, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, opposition force is <10  ",
3e0d2880dcc92ce9b5f42b42c6c66007,"Requires: Republics loyalty is >80, Head of state writes laws or Party writes laws or the SC writes laws and Trotskysts, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, opposition force is <20  ",
9f9400f8170f0e4f850b34878d82a8f1,"(Requires: Republics loyalty is >70, Head of state writes laws or Party writes laws or the SC writes laws and Conservatives and Moderate are the majority in the SC or referendums are determining laws, opposition force is <30  ",
ad2e0c89ea3986e0126fc052956febbc,"Requires: Republics loyalty is >50, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, opposition force is <30  ",
ff0b53c82b21b43fa64e199c168fe9f7,"Requires: Party elitarization, Soviet republic or Peoples Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
b2131d1f945011508218f0c0bf8c9166,"Requires: Soveit Republic or Chinese, Peoples or Fractional Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
