MD5,原文
cf85b2e9cd0b9908eb455ce48f7cec03,"KGB agents did their usual work:ribed someone, killed someone,and blackmailed someoneand made him change his opinion.During the session your opponentsdidn't say a word.",克格勃特工在完成他们的日常任务，贿赂、直接杀死或威胁某人改变主意。在会议期间，你的对手一言不发。
4a8fc61c57338a6e3b23875a863f54d4,"KGB squads isolated the plot leaders, Spetznaz and snipers destroyedmost of the rebel forces.Another victory.",克格勃小队隔离了阴谋领导人，俄国特种部队和狙击手摧毁了反叛者的主要力量。又一次胜利
8ad6ae207846ddfe3e3b4c2d146fc705,Spetznaz stromed the rebel buildingand snipers made panic mong our enemies.Armed opposition was crushed.,特种部队冲击进了反叛军的大楼，狙击手在敌人中制造慌乱。反对派被清除了。
3c211cc69415049d8d9948899326c98e,"rehabilitation of the anti-party group was begun,Khruschev was accused of the departure from thecollectivist management principlesStalin again appeared in textbooksas a great Soviet ruler, who rebuiltthe country after the fall of theEmpire, Civil war and WW2 by organisinga great industrilisation and raisingquality of life, education and raising the birthrate.Purged Yezhov and Yagoda were called responsible for purgesand Tukhachevsky was found guilty of the first military defeats of 1941.Then Lavrentiy Beria was rehabilitated too.The West has already condemned it.",对所谓反党团体的平反工作开始了。赫鲁晓夫被指责背离集体主义管理原则。作为伟大的苏维埃领袖，斯大林再次出现在了教科书上，这位伟人在饱受内战与二战战火摧残的旧帝国的废墟上凭着宏大工业化重建了苏联，改善了人民的生活、教育以及提高了新生儿出生率。被清洗的叶若夫和亚戈达被认为要对大清洗负责，图哈切夫斯基也被指控导致了1941年的失利。后来拉夫连季·贝利亚也恢复了名誉。西方正在谴责这一变化。
b567aa3deaee453c78e659eb6102dedf,"While in 1967 we spent 50,2 tonsof gold to buy grain,we had to spend 458,2 tons in 1972.These weren't reforms, but a road to nowhere",1967年，我们花了50.2吨黄金来买粮食，到了1972年，我们不得不花458.2吨来买。我们走到了死胡同，必须要改革了。
0706b6c31a743268aa7a5365a62f629d,"Economical experiment was startedon Schyokinskiy chemical factoryin order to test the reform. It gained approval from the government, the this experiment was usedon a large number of companies. However, despite of realization of Liberman's ideas, as it has always been, ministers vetoed additions of expanding responsibility of directors and bureaucrats.",以测试改革为目的经济试验在希奇奥金斯基开始了。来自政府的支持使其可以动员大量公司。即便如此，即使利伯曼改革的理想正被实践，部长们仍对要求扩大经理与官员的责任的动议投了反对票。
89c8b70892d58af245f6cf0cbce932f2,"USA presidental elections were won by an old parties candidate - Donald Trump. To save the country he began creating the youth military organisations, militarisation of society, expanding CIA rights, strengthening the power and destruction of an entire opposition. ilitarisaton and centralisation influenced even the economy, while defining the principles of corporacracy. It's all for the good of America!.. But only time will show if it helps United States...",美国总统选举是由一位旧政党候选人唐纳德·特朗普赢得的。为了拯救美国，他组建青年军事组织，令军事社会化，扩大CIA的权力，重拳出击把反对派连根拔起。军事化和集中化深刻地影响着经济，美国成为了典型的公司王国。一切为了美国！…但只有时间能证明这一切是否有效…
b47cfb9a7740cf42e9922cca7d906570,"Now all across the USSR cafes 'Five' appear, which can be a strong competitor of McRonalds. Population happily welcome the new cafe network, which has food similar to the famous McRonald's. All income goes to the USSR reserves, despite McRonald's tries to sue us.",全苏联都出现了名为“五兄弟”的小咖啡店，对于麦当劳构成了有力竞争。人民欢欣鼓舞支持这新出现的，售卖与名声大噪的麦当劳相近饭食的连锁咖啡店。即使麦当劳再怎么闹，进项还是揣进了联盟的财政储备。
5c4c76e2777993f93cab6eb956a77746,"While ignoring main thesis of the letter, you gave a written answer, in which you discussed problems of our relations and regional cooperation. It was presented personally by the Minister of Foreign Affairs in Khomeini's house, despite the fact that Khomeini didn't meet with anybody, because of his health. Our minister quotes Khomeini: 'I am disappointed. I heard, that he is a thinker. I talked about a place of humanity in this and supernatural world. I don't think about problems of this worldI heard, that new Moscow leade is a thinker. I talked about a place of humanity in this and supernatural world. I don't think about problems of this world. I talked about supernatural world and i didn't receive an answer. But i support the normalisation of our relations'. Soviet and Iranian media used this statement: Imam, after listening to the letter of our Leader, approved it..",在忽略掉了主题的同时，您写了封回信，讨论了我们在区域合作和关系上的问题。外交部长亲手把这封信交到了霍梅尼的房子里。即使霍梅尼身体不好没能会见任何人，部长先生记下了他的答复:“我很失望。我听说他是一位思想家，我提及了人道主义在尘世和超自然世界的地位，可我并未得到答复。我支持，我们的邦交正常化。我们两国媒体将如是报道:“伊玛目，在得到苏联领袖的信后，欣然赞成。”
92c5f8ffb6fc2809b61dd9ac878d705c,"After the beginning of the month parents in the USSR will be banned from any attraction or force to take part in religious life of the country. Ban will cover all religious events for children. Also parents are banned from enforcing religious beliefs and making them to wear religious clothes. New document says, that if parents are unable to protect their children from religious influence and if children don't want to visit normal schools, parents must send them to special correctional schools for rehabilitation.",自本月起，苏联孩子的家长不再被允许直接或间接影响我们国家的宗教生活。所有包含孩子的宗教活动一律禁止。要求孩子皈依与着宗教服饰一律禁止。新的文件宣告，如果家长保护不了孩子免受宗教影响，如果孩子拒绝上正常学校，家长必须将他们送到特别归正学校以使他们改邪归正。
f70e81f4886198960f01105b6161d8cf,"Acceleration policy predicted a 1.7 times increase in heavy industry development and reaching a world level in the 90s. However financing heavy industry, import purchases for it, didn't give positive effect and didn't affect food market. Moreover, this market became a victim of the acceleration",加速计划预计将提高重工业至一点七倍并在九十年代达到世界领先水平，但是投入金钱购买与资助没有太大成效，也对食物市场毫无影响，恰恰相反，食物市场因这计划急转直下。
b8be01f907b893a5f3beeabd9fdae854,"During the referendum most of the poppulation supported the USSR, but it will follow the new Union treaty. It, in theory, will improve national relationships and give more possibilities to the union republics. Including rights to leave the USSR and use their own resources.",在公投中大多数人民支持了我们伟大的，奉行新联盟条约的苏维埃主权共和国联盟。理论上，这将改善民族关系，并给以各共和国新的可能性，比如自由出入联盟以及支配本国资源。
04f5ae5c128cec6e7e528ffd8312301a,Today first meeting between the Pope and leader of the USSR took place. Diplomatic relations were created. Our Ruler declared constitutional policy of Free onscience.,今天教宗和苏联领袖的首场会面开始了。外交关系被确立了。我们的领袖宣布了宪法级的信仰自由政策。
d61ae0b6879f95504da8b746edee5d13,"Creation of Missile defense with elements of space basing has created a new major psychological factor  realization of existence of powerful weapons in space. A number of such reasons (including impossibility of creation of SDI) led to the cancellation of the SDI project. Despite the refusal of the USSR to sign the treaty, western media didn't mention it, while the ideo of SDI was dismissed. Resources of the American budget were redirected to economy.",创建天基导弹防御系统的一个重要心理因素是太空中部署的强大武器。许多这样的原因（包括SDI的失败）导致SDI项目取消。苏联拒绝签署该条约，但西方媒体没有提及。SDI计划被驳回。美国预算被重新分配到发展经济上。
