"April 28, 1986 at 21:00 TASS sends a brief information message: \""At the Ukrainian nuclear power plant there was an accident. Measures are being taken to eliminate the consequences of the accident. The victim is assisted. A government commission has been ","April 28, 1986 at 21:00 TASS sends a brief information message: \""At the Ukrainian nuclear power plant there was an accident. Measures are being taken to eliminate the consequences of the accident. The victim is assisted. A government commission has been set up to investigate what happened. \"" In the first days after the accident, the population of the 10-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n","1986年4月22日晚间九点，塔斯社发布了一则简短的声明: \""乌克兰的核能发电站发生了一起事故，现在我们已采取手段来消除事故影响，伤者已经得到救治，政府正在全力调查事件的起因与经过。 \"" 事件后的第一天，事发地点周围十公里以内的居民都被疏散。在处理事件后果的过程中，许多核电站工作人员遭受了过量的核辐射照射，有些人甚至已经牺牲。\n"
"The mass media of the Ukrainian SSR suddenly began to talk about a threat to people's lives, and a map of air flows in Central and Eastern Europe was shown on TV screens. Residents were warned about the existing danger and in the first days after the acci","The mass media of the Ukrainian SSR suddenly began to talk about a threat to people's lives, and a map of air flows in Central and Eastern Europe was shown on TV screens. Residents were warned about the existing danger and in the first days after the accident the population of the 30-kilometer zone was evacuated. In carrying out work to combat the consequences of the accident, many station personnel received large doses of radiation, and some even fatal.\n",乌克兰社会主义共和国的大众媒体突然开始播报有关于人民生活安全的内容，一幅关于中东欧气流流动的气候地图也被放映在电视屏幕上。居民被告知外出存在危险，在事故发生后的第一天，距事发地点30公里区域的居民被紧急疏散。\n
"In Kiev and other cities of Ukraine and Belarus, festive demonstrations and festivities devoted to May Day were held. The persons responsible for concealment of information, subsequently explained their decision by the need to prevent panic among the popu","In Kiev and other cities of Ukraine and Belarus, festive demonstrations and festivities devoted to May Day were held. The persons responsible for concealment of information, subsequently explained their decision by the need to prevent panic among the population. First Secretary of the CPU V.Shcherbitsky was absent from the parade for health reasons and was resting at the cottage in the Crimea. Instead, the parade was held by 1 Secretary of the Central Committee of the Kiev City Committee on the instructions of Mikhail S. Gorbachev.\n",但是基辅以及乌克兰和白俄罗斯的其他城市则照常举行了庆祝五一节的游行和庆祝活动。负责隐瞒事故的人后来解释说，他们的决定是为了防止人民产生恐慌情绪。由于健康原因，乌克兰共产党的第一书记--谢尔比茨基没有参加在基辅的庆祝活动而是在克里米亚的别墅中休息。相反，阅兵式是在戈尔巴乔夫的指示下，由基辅市党委的一名中央书记举行的\n
"The construction of the sarcophagus began around the reactor, the construction of additional units was canceled, just like the nuclear power plant itself was decommissioned. This required the allocation of funds and led to the receiving radiation by speci","The construction of the sarcophagus began around the reactor, the construction of additional units was canceled, just like the nuclear power plant itself was decommissioned. This required the allocation of funds and led to the receiving radiation by special brigades, but the area was secured. At the same time, the task was to evacuate the population from the territories for another 30 km away from the disaster site in order to avoid civilian irradiation. The safe ways of moving the columns of the evacuated population were determined taking into account the already obtained radiation reconnaissance data. Such a large campaign attracted the attention of an independent publisher and began to spread panic among the population.\n",用于防辐射的石棺的建造围绕着切尔诺贝利核电站展开了，额外防护的建设被取消，乌克兰的核电站退役了，新的乌克兰核电站的建设和服役都被暂停。如此大的应急举措需要分配预算并动用用于监测辐射的特殊部队的进驻，现在整个区域都被保护了起来。同时必须立即开始疏散事发地点30公里内的居民，否则会多出一大批的辐射病受害者。应急指挥部已经根据辐射的传播方向制定了一条合适而安全的撤离线路。但是我们这样大张旗鼓的举动已经受到了一家独立报纸的注意，现在一些媒体已经开始利用传媒散播恐怖情绪。\n
"The introduction of individual and broad cooperative entrepreneurship led to the growth of corrupt ties between private traders and party members, the growth of speculation false decommissioned goods at higher prices (and, consequently, the increase in th","The introduction of individual and broad cooperative entrepreneurship led to the growth of corrupt ties between private traders and party members, the growth of speculation false decommissioned goods at higher prices (and, consequently, the increase in the deficit in state stores) and the appearance of schemes and fraudulent schemes for the false bankruptcy of enterprises for profit. It seems that a large part of the subsidies and credits went into the hands of scammers, but the people are pleased with the changes that have begun.",个人和广泛合作企业家的引入导致了私营贸易商和党员之间的腐败关系的增长，以高价炒作假冒过期商品的投机运动的增长（从而导致国营商店赤字的增加），以及为了从企业破产中获利的虚假计划和欺诈计划的出现。
"d) Power of the army. While wars between superpowers are no long gone, strong army is still needed for local conflicts and some operations. And of course, even a superpower can be attacked by a more powerful enemy.\nd) Soviet budget. All available money, ","d) Power of the army. While wars between superpowers are no long gone, strong army is still needed for local conflicts and some operations. And of course, even a superpower can be attacked by a more powerful enemy.\nd) Soviet budget. All available money, except your gold reserves, can be spent in different economy spheres.\nf) Authority points. Even a ruler must have enough authority for in order to make changes. You will use them to change doctrines, appoint new ministers and interact with other countries on the World map. Some events can also use points. These points can drop below 0, but they are restored over time.\ng) Loyalty of the CSS. Rioting special services are not a good thing. If loyalty is too low, you will have to confront them. People and army can help you, but it's better to prevent such situations.\nh) Loyalty of generals. Unhappy generals can easily organize a military coup. But you will still have the CSS and people on your side.\ni)Science points. You will spend these points in the Academy of Sciences to develop new technologies, which will surely help you. They are gained through financing science and some other factors, for example, space staion MIR",d）军队力量。虽然超级大国之间的战争已经不复存在，但仍然需要强大的军队来进行地方冲突和某些行动。当然，即使是超级大国也可以被更强大的敌人攻击。\ne）苏联预算。除黄金储备外，所有可用资金都可以用于不同的经济领域。\nf）政治点数。即使是统治者也必须有足够的权力才能做出改变。您将使用它们来改变学说，任命新的部长并在世界地图上与其他国家互动。有些活动也可以使用点数。这些点数可能低于0，但它们会随着时间的推移而恢复。\ng）KGB的忠诚度。骚乱特殊服务并不是一件好事。如果忠诚度太低，你将不得不面对他们。人民和军队可以帮助你，但最好是防止这种情况发生。\nh）将军的忠诚度。不悦的将军很容易组织军事政变。但是你仍然会拥有KGB和忠于你的人员。\ni）科学点。您将在科学院花费这些点来开发新技术，这肯定会对您有所帮助。它们是通过资助科学和其他一些因素获得的，例如和平号空间站
"Sometimes additional information about the country is shown - ruling party, local war, it's loyalty etc.\n Many countries can be interacted with, using buttons below information about it. Actions require fulfillment of listed requirements and at least 1 a","Sometimes additional information about the country is shown - ruling party, local war, it's loyalty etc.\n Many countries can be interacted with, using buttons below information about it. Actions require fulfillment of listed requirements and at least 1 authority point. While actions with different countries are also different, there are some general ones:\n- Dotations, support and financing of a country will drain your resources and reduce your income. It's cheap to finance some countries, but a large number of dotations can damage your economy. Dotations for third world countries work differently.\n- Military aid or invasions reduce the size and power of your army. Changes are not significant, but don't do it too often\n- The diplomatic map is the only way to find out support of the USSR countries. Keep in mind, that when country leaves the USSR, so called \""Status\"" appear - it shows likeliness of the country to join NATO. If status reaches 0, country will join NATO and it will become a lot harder to return it\n- Warsaw pact works similarly. If loyalty is too low - country will distance from the USSR, if liberalisation is high - it will pass capitalistic reforms. Neither will end well.",有时会显示有关该国的其他信息 - 执政党，当地战争，忠诚度等。\n 许多国家或地区都可以使用以下按钮进行互动。行动要求履行所列要求和至少1个政治点。虽然与不同国家的行动也不同，但有一些一般性的：\n - 捐助，支持和融资一个国家将消耗你的资源并减少你的收入。为一些国家提供融资的成本很低，但大量的捐助可能会损害您的经济。捐助第三世界国家则以不同的方式运作。\n - 军事援助或入侵，减少了你的军队的规模和力量。变化并不大，但也不要经常这样做。\n - 外交地图是寻求苏联国家支持的唯一途径。请记住，当国家离开苏联时，所谓的“状态”出现 - 它显示了加入北约的国家的可能性。如果状态达到了，国家将加入北约，拉回它将变得更加困难。\n - 华沙​​协议的运作方式类似。如果忠诚度太低 - 国家将与苏联保持距离，如果自由化程度很高 - 它将通过资本主义改革。两者都不会有好下场。
"After the removal of reformers from the Party, Romanov refused from anti-alcohol campaign, continued Brezhnev's politics, while developing science in the country, especially space field, and supporting slow automatization. Some confrontation was present i","After the removal of reformers from the Party, Romanov refused from anti-alcohol campaign, continued Brezhnev's politics, while developing science in the country, especially space field, and supporting slow automatization. Some confrontation was present in foreign politics and Afghan war was still going on. Tries of Ligachev and reformers to criticize Romanov led to their defeat. Politbureau supported Romanov.",在清除了党内改革派后，罗曼诺夫拒绝了禁酒运动，他继续了勃列日涅夫政策，发展了这个国家的科学如航天，并支持缓慢的自动化。外交上出现了一些与西方的摩擦，阿富汗战争也继续进行。利加乔夫和改革派对罗曼诺夫的批评引火烧身。政治局支持罗曼诺夫。
"Now, when Gromyko, Grishin's protector, is dead, we can declare that moderate conservative politics can't satisfy anybody. Weakening of influence in Afghanistan, failure of anti-alcohol campaign and the Acceleration, tries to restore Stalinism, unsuccessf","Now, when Gromyko, Grishin's protector, is dead, we can declare that moderate conservative politics can't satisfy anybody. Weakening of influence in Afghanistan, failure of anti-alcohol campaign and the Acceleration, tries to restore Stalinism, unsuccessful detente - all of this is used against Grishin and his illness only makes it worse. When Grishin is sent to the hospital, Gorbachev quickly calls for the Party meeting, gets support from Ligachev and moderates and takes power.",现在格里申的保护者葛罗米柯去世了，我们可以宣称温和派和保守派的政策不能让所有人满意。对阿富汗的影响力下降、反酒精运动和“加速战略”的失败、试图恢复斯大林主义、对美缓和的失败，这些都能要来攻击格里申，他的病情只会让他处境更糟。随着格里申被送去医院，戈尔巴乔夫很快就召集了党中央成员们，并在利加乔夫和中间派的支持下正式掌权。
Required: reserve > 700 and political power > 20 and power of kgb > 70 and power of communism in this country < 40,Required: reserve > 700 and political power > 20 and power of kgb > 70 and power of communism in this country < 40,要求：准备金>700，政治点数>20，克格勃力量>70，该国共产主义者力量<40
