"\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.","\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.",\n并认为你的位置\n应由另一位统治者接管。\n 他们正在一起准备\n针对你的政变和审判。
英文键值,原文
"Here you can play in scenarios for the game Crisis in the Kremlin. All scenarios\nmust be purchased separately in the Steam store. If you bought a scenario, but it did not start,\ntry running Steam on behalf of the administrator.","Here you can play in scenarios for the game Crisis in the Kremlin. All scenarios\nmust be purchased separately in the Steam store. If you bought a scenario, but it did not start,\ntry running Steam on behalf of the administrator.",你可以在此开始克里姆林宫危机剧本模式，所有剧本\n需在Steam商店购买。如果购买后不可用，\n尝试联系Steam管理员。
"Seeing that the party vertical of power is undergoing multiple changes and the head of state is Mikhail Gorbachev, you decided to retire to an honorable retirement. Everyone expects change from him, but we don't.","Seeing that the party vertical of power is undergoing multiple changes and the head of state is Mikhail Gorbachev, you decided to retire to an honorable retirement. Everyone expects change from him, but we don't.",看到党的直接领导正在经历多元化改革，国家领导人成了米哈伊尔·戈尔巴乔夫，你决定体面地退休了。每个人都期望他能带来改变，但我们不这样认为。
"On our letter with condolences, we, after a nine-day mourning, received a dry reply from Albania, where we were modestly thanked for sympathy. However, there was not a single mention in the official Albanian press about this.","On our letter with condolences, we, after a nine-day mourning, received a dry reply from Albania, where we were modestly thanked for sympathy. However, there was not a single mention in the official Albanian press about this.",在九天的哀悼之后，我们收到了来自阿尔巴尼亚对我们的吊唁信干巴巴的回复。信中适度地表达了对我们的同情的感谢。然而阿尔巴尼亚的官方通讯社一点也没有提到此事。
"The performance was unprecedented in scale. The state for the first time went on reducing the income from alcohol, which was a significant item of the state budget (more than 15%), and began to drastically reduce its production. After the beginning of the","The performance was unprecedented in scale. The state for the first time went on reducing the income from alcohol, which was a significant item of the state budget (more than 15%), and began to drastically reduce its production. After the beginning of the fight against drunkenness, a large number of stores selling vodka and alcohol products were closed in the country. Several times the prices for vodka rose: popular vodka, which received the nickname \""Andropovka\"", which costed 4 r. 70 k., Disappeared from counters, and since August 1986 the cheapest vodka cost 9 rubles. 10 k ..","行动力度是空前的，国家首先开始猛烈削减酒类产品的产量，从中\n得到的收入因此锐减，此项收入一度占国家整体预算的15%以上。开始\n反酗酒活动后，国内大量销售伏特加和其他酒的商店被关闭。\n伏特加的价格上涨了几倍：售价4卢布70戈比的广受欢迎的\n昵称为\""安德罗波夫卡\""的伏特加从柜台消失，从1986年8月开始最便宜的伏特加也要9卢布10戈比"
"The implementation in fact took only the form of successful reports about working with the population, strengthening patrols, in order to avoid drinking alcohol in public places, renaming stores and moving them from the central streets to side. And althou","The implementation in fact took only the form of successful reports about working with the population, strengthening patrols, in order to avoid drinking alcohol in public places, renaming stores and moving them from the central streets to side. And although \""Andropovka \"", the cheapest vodka for 4p. 70 kopecks, disappeared from the shelves, the rest remained on sale, unlike Moscow, where the cheapest vodka was selling for 9p. 10 kopecks.",在实际执行中只采取了在对群众工作中被证明是成功的，增强了巡逻以避免在公共场合饮酒，保留了（卖酒的）商店并将它们从中心街道挪到背街小巷之中。而且，尽管最便宜的，4卢布70戈比一瓶的“安德罗波夫卡”伏特加从货架上消失了，其他品种仍旧在售，与最便宜的伏特加都要卖上9卢布10戈比的莫斯科有所不同。
\nThe center reduced subsidies.,\nThe center reduced subsidies.,\n中央减少了补贴。
"For a long time, Mengele hid in Brazil under a false name, avoiding trial for his crimes.","For a long time, Mengele hid in Brazil under a false name, avoiding trial for his crimes.",很久以来，门格勒以假名藏匿在巴西来逃避对他罪行的审判。
"A mass antifascist month was held in the country - the film \""Ordinary Fascism\"" was shown again, distributed leaflets, held meetings in the Komsomol and the CPU, an anti-fascist procession, explained the Nazi essence of the OUN-UPA, and the youth solemnl","A mass antifascist month was held in the country - the film \""Ordinary Fascism\"" was shown again, distributed leaflets, held meetings in the Komsomol and the CPU, an anti-fascist procession, explained the Nazi essence of the OUN-UPA, and the youth solemnly visited the veterans.","乌克兰举行了反法西斯月系列活动——电影\""普通的法西斯（英：战胜暴力）\""再度放映，共青团员和乌共党员们分发传单、召开会议、举行反法西斯游行并揭露了乌克兰民族主义组织—乌克兰反抗军（OUN-UPA）的纳粹本质。一些青年庄严的拜访了退伍军人。"
"You spoke at the UN on behalf of the Ukrainian SSR, reading in two hours a report on the atrocities of the fascists on the territory of Ukraine, after which the word was taken by another person. And with a different theme.","You spoke at the UN on behalf of the Ukrainian SSR, reading in two hours a report on the atrocities of the fascists on the territory of Ukraine, after which the word was taken by another person. And with a different theme.",你代表乌克兰苏维埃社会主义共和国在联合国报告，花费两个小时阐述了法西斯分子在乌克兰境内法西斯分子的暴行。在这之后另一个人以不同的主题进行了报告。
The project of the New Political Thinking is being prepared.,The project of the New Political Thinking is being prepared.,正在准备新思维改革
