MD5,原文
5804ad517334ed6ba172b06b132981ec,"Only leaders of true Marxist-Leninist parties and emissaries from the DPRK, Vietnam, Cuba, Romania, Laos, Kampuchea, People's Democratic Republic of Yemen , Nicaragua, Iran and Iraq were allowed to enter Tirana from abroad. Telegrams of condolences sent from foreign countries, including from the USSR, Italy and Yugoslavia, were sent back, except for condolences from F. Castro, N. Ceausescu and Kim Il-Sung. Farewell to Khoja took place in the palace named after Stalin in Tirana.",只有来自朝鲜、越南、古巴、罗马尼亚、老挝、柬埔寨、也门人民民主共和国、尼加拉瓜、伊朗和伊拉克的真正的马克思列宁主义政党的领导人和特使才能从国外进入地拉那。除了来自菲德尔·卡斯特罗、尼古拉·齐奥塞斯库和金日成的哀悼外，包括苏联、意大利和南斯拉夫在内的其他国家的哀悼电报都被打回。告别霍查的仪式在地拉那的斯大林宫中举行。
638926a73654dd5f612f3ea8243e9b65,"Only leaders of true Marxist-Leninist parties and emissaries from the DPRK, Vietnam, Cuba, Romania, Laos, Kampuchea, People's Democratic Republic of Yemen, Nicaragua, Iran and Iraq were allowed to enter Tirana from abroad. We were sternly denied arriving on the funeral.",只有来自朝鲜、越南、古巴、罗马尼亚、老挝、柬埔寨、也门人民民主共和国、尼加拉瓜、伊朗和伊拉克等真正的马克思列宁主义政党的领导人和特使才能从国外进入地拉那。我们被严拒出席葬礼。
43a697a133f042d4e04a5615c12c5c4a,Withdrawal from the Politburo and Party onservatives and their replacement by supporters of the deepening of reforms led to the beginning of the implementation of the radical reform of all spheres of Soviet society.,党内的保守派退出政治局，取而代之的是深化改革的支持者，这使苏联社会各领域得以开始彻底的改革。
a10887c1e7e067a3bfcf0135b1706244,Decisions of the Council of Ministers of the USSR On the procedure for the establishment of joint ventures in the territory of the USSR with the participation of Soviet organizations and firms of capitalist and developing countries and On the creation of cooperatives for the production of consumer goods were accepted.,苏联部长会议提出一项决议，决议旨在建立一套程序，批准与苏联组织、资本企业、发展中国家等，在苏联境内建立合资企业与合作社，用于生产消费品。
5a5dc8000f67c0f0d8a033e3928f0860,"At the XXVII Congress of the CPSU in early 1986, task  1 was  the accelerated development of machine building, in which the basis for the rapid rearmament of the entire national economy was seen. The acceleration program outlined an advance (1.7 times) the development of engineering in relation to the entire industry and the achievement of a world-class level in the late 1990s.",1986年初的苏共第二十七届大会提出，当前首要任务是加快机械制造行业的发展，我们视其为迅速重整全体国民经济的基础。 加速计划概要如下，（预计以1.7倍速度）优先发展所有与该行业相关的工程，并于20世纪90年代末期达到世界一流水平。
af0b6d39db154aceb1ebd046f5b17e3d,"Panel on the right is showing general information about the current situation. It shows:a) Relations with the USA. Try to evade conflicts with them. Every time when relations become less than 0, Defcon (a number which shows how close is the world to a large-scale conflict) becomes lower, and you will get a crisis event. When Defcon is less than 2, your only choice will be to start a detente, which costs some money, or to start cooperating with the USA, which will cost some of leninism's achievements (some doctrines will become more pro-american). Or you can just nuke the imperialists (if you want to). However, depending on some factions' positions majority in the Supreme Council, detente can be your only available option. If relations are more than 100, Defcon will rise, but not higher than 5.b) Income. It shows how much money you gain or spend (if the number is negative) at the end of each turn. Income (or spendings, excluding event and map actions spendings) arrives every 2 turns.) Relations with China. It works similarly to the USA relations, but they don't affect Defcon. If relations are too low, China will make agressive actions. But in that case you can rely on the power of your army. Or financial resources",右边的面板显示了有关当前情况的一般信息。它上面有：a）与美国的关系。尽量逃避与他们的冲突。每当关系小于0时，战备等级（一个显示世界离大规模冲突有多接近的数字）会降低，同时你将遇到危机事件。当战备等级小于2时，你唯一的选择就是开始缓和。你要么花一笔钱，要么与美国开始合作，这将毁掉一些列宁主义的成就（一些学说将变得更加亲美）。要不然你也可以只是为帝国主义者种蘑菇（如果你愿意的话）。然而，根据一些派系在最高苏维埃中的多数席位，缓和可能是你唯一可用的选择。如果关系超过100，战备等级将上升，但不会高于5。b）收入。它显示了在每个回合结束时你获得或花费了多少钱（如果数字是负数）。收入（或支出，不包括事件和地图行动支出）每2轮结算一次。c）与中国的关系。它与美国关系类似，但它不影响战备等级。如果关系太低，中国将采取激进行动。在这种情况下，你可以靠军队或钱解决。
b770da8b166d61ce38d9fa4fd890b54c,"Much more advanced than NEP and including self-management policies. We used to accuse Tito of orporatism, but what are we doing now?..",比新经济政策更先进，包括自我管理的政策。 我们曾经指责铁托的社团主义，但我们现在在做什么呢？..
cc010fbdcda6490b2c9003d3407af868,"We must control prices if current situation changes, if there is excess of meat  it will be cheaper, if there is deficit, it will be more expensive.",如果情况有变，我们必须控制物价。肉多则贱，肉少则贵。
69b0e47360c817cc2c75902fee928eb8,"Nuclear weapons is evil, with which we should fight. We will destroy our nukes for the sake of world peace.",核武器就是恶魔，我们应该与之斗争。 为了世界和平，我们将摧毁我们的核武器。
43e1fc65498b8ac45a7d65279732afab,"Economy isnt more liberal than New Economic Policy and head of state writes laws or Party/SC writes laws and Conservatives, Moderate and Stalinists are the majority or referendums are determining laws, republics loyalty is>70, opposition force is<50  ",经济政策不比新经济政策更自由。国家元首制定法律；或党、最高苏维埃制定法律，保守派、温和派和斯大林主义者占多数；或公民投票决定法律，共和国忠诚度 > 70，反对派力量 < 50
